numero_base,classe,descricao,referencias_correlacionadas
010001,1,Comburentes [aditivos químicos para combustível],040025;040085;040107
010002,1,Substâncias adesivas para fins industriais,030001;030178;030199;050277;070013;110328;110391;160265;160311
010003,1,"Sal para conservar, exceto para alimentos",080286;110363;300014;300049;300123;300174;310007;310014;400033;400117;430193
010004,1,Fluidos auxiliares para uso com abrasivos,030035;030165;040101;050001;070600;210259
010005,1,Aceleradores de vulcanização,070384;370113;400101
010006,1,Soluções antiespumantes para baterias,030076;050094;090007;090008;090008;090009;090009;090010;090012;090031;090044;090168;090287;090557;090957;150066;150094;170114;340040;370137;400141;030076;050094;090008;090009;090009;090083;090361;110002;110242;170114;340040
010006,1,Soluções antiespumantes para acumuladores,030076;050094;090007;090008;090008;090009;090009;090010;090012;090031;090044;090168;090287;090557;090957;150066;150094;170114;340040;370137;400141;030076;050094;090008;090009;090009;090083;090361;110002;110242;170114;340040
010007,1,Acetatos [produtos químicos]*,030174;030245;050193;350023
010008,1,"Acetato de celulose, não processado",170001;310073;310144;310182
010009,1,Preparações bacteriológicas para acetificação,030096;030237;050025;050029;050032;050037;050090;050103;050116;050120;050135;050195;050229;050229;050390;050517
010012,1,Acetileno,070002;110003;110004;110005
010013,1,Tetracloreto de acetileno,070002;110003;110004;110005
010014,1,Ácidos *,050292;060065
010015,1,Preparações químicas de condensação,030096;030237;050025;050029;050032;050090;050103;050116;050120;050135;050166;050195;050202;050222;050222;050229;050229;050246;050288;050323;050362;050363;050390;050488;050517;070116
010016,1,Composições químicas à prova de ácidos,050292;090582;170015;170042
010017,1,Preparações para acabamento usadas na manufatura do aço,060005;070193
010019,1,Aditivos químicos para lamas de perfuração,040085;120049;120087
010020,1,Aditivos químicos para combustível,040025;040085;040107
010021,1,Aditivos detergentes para gasolina,040043;050108;090243;200311
010022,1,Preparações adesivas para ataduras cirúrgicas,050049;050442;060396;100033;100053;100206
010023,1,Preparações para abrandar água,030058;030089;030091;030092;030096;030137;030171;030225;030228;030237;030255;030259;050005;050025;050029;050032;050045;050090;050103;050116;050120;050128;050131;050135;050195;050229;050229;050390;050517;070147;070163;090072;090311;110052;110096;110127;110128;110174;110243;110252;110276;110302;110383;160309;170006;190042;190076;300076;300287;320014;320017;320028;330041;390003;390030;420216
010024,1,Goma tragacanta para uso industrial [alcatira],030009;030010;040047;040057;040065;040067;040075;040089;070004;070103;070143;070282;070316;070327;070347;070419;070509;070595;070600;090178;090418;090526;110292;170117
010025,1,Carvão ativado,020039;040014;040016;040023;040054;040072;040117;050056;070093;070094;110072;160160
010026,1,Gases propulsores para aerossóis,050314;070241;120040;120166;240002
010027,1,Agentes redutores para uso em fotografia,050373;090168;090174;090181;090212;090639;410101
010028,1,Substâncias adesivas para cartazes,030001;030178;030199;050277;160007;160265;160311;350125
010029,1,Ágar-ágar para uso industrial,040030;040047;040057;040065;040067;040075;040087;040089;070004;070103;070143;070282;070316;070327;070347;070419;070509;070600;090178;090276;090418;090526;110292;420049;420165
010032,1,Composições para reparar câmaras-de-ar de pneus,090595;100276;110012;110156;110356;120007;120008;120156;120157;120194;120214;120234;120292;170042;190215;280001;370077;370138
010033,1,"Albumina [animal ou vegetal, matéria-prima]",040027;050183;310057;310131
010034,1,Albumina iodada,050006;050007;050420
010035,1,Albumina de malte,020035;020048;050006;050007;050203;050420;110191;300017;300164;310084;320004;320025
010036,1,Papel albuminado,020096;030139;030140;030166;050035;050237;050237;050286;050437;070291;160006;160008;160010;160010;160062;160066;160067;160074;160094;160102;160115;160116;160130;160130;160140;160155;160156;160182;160183;160190;160191;160192;160198;160200;160202;160210;160224;160229;160233;160254;160276;160280;160286;160287;160294;160295;160296;160305;160306;160307;160308;160324;160327;160332;160339;160344;160366;160370;160372;160373;160375;160376;160382;160383;160384;160390;160391;160395;160396;160399;160403;160408;160409;160410;170029;170055;170071;190062;210173;210180;210187;210253;210318;210340;210419;210476;220031;220038;240022;240032;250122;250128;250162;250182;260141;270007;280204;300239;300240;340024;400006;400061
010038,1,Álcali cáustico,030167;030167
010039,1,Metais alcalino-terrosos,020090;020093;020094;050010;060182;060185;060220;060434;060453;070258;140003;140055
010040,1,Álcool para uso industrial,040002;040003;040065;040067;040075;040089;050008;050438;070004;070103;070143;070282;070316;070327;070347;070419;070600;090418;090526;110247;110292;290133
010041,1,Álcool etílico,040002;040003;040004;050008;050438;110247;290133;320065
010043,1,Algas [fertilizantes],110392;160405;220074;290002;290273;290274;300002;300281
010044,1,Substâncias químicas para conservação de alimentos,050277;080286;400033;400066;400117;430193
010045,1,Preparações químicas para facilitar a liga de metais,020093;020094;050166;050202;050222;050222;050246;050288;050323;050362;050363;050488;060032;060185;060220;060253;250039
010047,1,Alume de alumínio,020007;020008;050299;060017;060019;060270;060502;210410
010048,1,Hidrato de alumínio,020007;020008;050299;060017;060019;060270;060502;210410
010049,1,Silicato de alumínio,020007;020008;060017;060019;060270
010050,1,Cloreto de alumínio,020007;020008;050299;060017;060019;060270
010051,1,Iodeto de alumínio,020007;020008;050299;060017;060019;060270;060502;210410
010052,1,Alúmen,030168
010053,1,Preparações químicas para melhoramento de solo,030096;030237;050025;050029;050032;050090;050103;050116;050120;050135;050166;050195;050202;050222;050222;050229;050229;050246;050272;050288;050323;050362;050363;050390;050488;050517
010055,1,Amido para uso industrial,040065;040067;040075;040089;050013;070004;070103;070143;070282;070316;070327;070347;070419;070600;090418;090526;110292;300065
010056,1,Agentes químicos para fluidificar amido [agentes de descolagem],050373;300074;050166;050222;050246;050323;050362;050363
010056,1,Agentes de descolagem [preparações químicas para fluidificar amido],050373;300074;050166;050222;050246;050323;050362;050363
010057,1,Sal amoníaco [cloreto de amônio],300049;300123
010058,1,Espírito de sal,030285;300014;300049;300123;300174;310014
010060,1,Sais amoniacais,030026;030175;050042;050130;050137;050224;050251;050274;050302
010061,1,Amoníaco *,030167;030167
010062,1,Aldeído de amônio,130005
010063,1,Alúmen de amoníaco,030168
010064,1,Acetato de amido,030010;050013;050299;160338;170001
010065,1,Álcool de amido,030010;040002;040003;040004;050008;050013;050438;110247;160338;290133;320065
010066,1,Amoníaco anídrico,030167;030167
010068,1,Carvão animal [negro animal],020039;040054;050083;050375;070094;180050;290081;310028;310039;310067;310077;310124
010070,1,Ácido antranílico,050338;290254
010071,1,Substâncias antidetonantes para motores de combustão interna,070016;070394;070402;070463
010073,1,Anti-incrustantes,020122;050154;050510;090048;100255;450194
010075,1,Óxido de antimônio,020044;020081;020089
010077,1,Preparações químicas para acabamentos da indústria têxtil,050166;050246;050323;050362;070496
010078,1,Goma arábica para uso industrial,030009;030010;040047;040057;040065;040067;040075;040089;070004;070103;070143;070282;070316;070327;070347;070419;070509;070595;070600;090178;090418;090526;110292;170117
010079,1,Preparações viscosas para enxertos de árvores,030096;030237;050005;050025;050029;050032;050090;050103;050116;050120;050135;050195;050229;050229;050390;050517;060028;060467;080100;200371;280029;280039;280120;310008;310009;310010;440166;440206;440243;440244
010080,1,Mástique para enchimento de cavidades de árvores,080100;200371;280208;310008;310010;440243;440244
010081,1,Soluções de sais de prata para pratear,020014;020015;030076;060016;060016;060030;140008;140163;170114;260093;400007
010083,1,Arseniato de chumbo,020038;020089;050054;050054;060146;060214;130041
010085,1,Ácido arsenioso,050338;290254
010087,1,Combustíveis para reatores nucleares,090957;110192;110253
010089,1,Preparações químicas para descarbonização de motores,030096;030237;050025;050029;050032;050090;050103;050116;050120;050135;050166;050195;050202;050222;050222;050229;050229;050246;050288;050323;050362;050363;050390;050488;050517;070029;070077;070137;070618;070622;120058
010090,1,Papel autovirador [fotografia],050237;050286;090021;090117;090122;090174;090181;090184;090206;090211;090212;090233;090264;090318;090390;090562;090574;090639;160006;160062;160130;160140;160156;160182;160190;160191;160210;160233;160339;160370;160372;160376;160395;170071;190062;250122;250128;400061;410101
010091,1,Substâncias químicas para avivar têxteis,050277;400037;440115
010093,1,Óxido nitroso [monóxido de dinitrogênio],020044;020081;020089
010094,1,Adubos nitrogenados,110392;440115
010094,1,Fertilizantes nitrogenados,110392;440115
010095,1,Ácido nítrico Bactericidas para enologia [preparações químicas usadas durante a fabricação de,050166;050202;050222;050222;050246;050323;050362;050363;050488;400129
010097,1,Banhos fixadores [fotografia],020011;020072;050043;050045;050059;090021;090174;090181;090206;090211;090264;090318;090639;110037;110349;280066;410101
010098,1,Banhos de galvanização,050043;050045;050059;070536;110037;110349;400034;440018;440019;440239
010099,1,Banhos de viragem [fotografia],050041;050043;050045;050059;090021;090117;090122;090174;090181;090184;090206;090211;090212;090233;090264;090318;090390;090562;090574;090639;110035;110037;110349;410101;440018;440019;440239
010100,1,Soda do comércio [soda barrilha],030027;030072;030153;320028;350163
