ncl_a,ncl_b,afinidade,fonte
1,2,0.1468,nice_tfidf
1,3,0.2909,nice_tfidf
1,4,0.2879,nice_tfidf
1,5,0.3357,nice_tfidf
1,7,0.0644,nice_tfidf
1,9,0.1119,nice_tfidf
1,10,0.1632,nice_tfidf
1,11,0.056,nice_tfidf
1,16,0.0844,nice_tfidf
1,17,0.1039,nice_tfidf
1,21,0.1233,nice_tfidf
1,29,0.1104,nice_tfidf
1,30,0.1021,nice_tfidf
1,31,0.0668,nice_tfidf
1,40,0.0785,nice_tfidf
2,3,0.0812,nice_tfidf
2,4,0.102,nice_tfidf
2,5,0.0656,nice_tfidf
2,16,0.0804,nice_tfidf
2,17,0.083,nice_tfidf
2,29,0.0581,nice_tfidf
2,40,0.062,nice_tfidf
3,4,0.139,nice_tfidf
3,5,0.2773,nice_tfidf
3,7,0.0531,nice_tfidf
3,9,0.0529,nice_tfidf
3,10,0.162,nice_tfidf
3,11,0.0505,nice_tfidf
3,16,0.0916,nice_tfidf
3,17,0.082,nice_tfidf
3,18,0.05,nice_tfidf
3,21,0.2116,nice_tfidf
3,24,0.0701,nice_tfidf
3,26,0.0542,nice_tfidf
3,29,0.0752,nice_tfidf
3,30,0.0909,nice_tfidf
4,5,0.1006,nice_tfidf
4,7,0.0699,nice_tfidf
4,10,0.0587,nice_tfidf
4,11,0.068,nice_tfidf
4,13,0.0515,nice_tfidf
4,18,0.0559,nice_tfidf
4,21,0.0789,nice_tfidf
4,22,0.053,nice_tfidf
4,29,0.1333,nice_tfidf
4,30,0.0566,nice_tfidf
4,40,0.0505,nice_tfidf
5,9,0.0908,nice_tfidf
5,10,0.5418,nice_tfidf
5,11,0.0662,nice_tfidf
5,17,0.077,nice_tfidf
5,20,0.0612,nice_tfidf
5,21,0.1241,nice_tfidf
5,22,0.0501,nice_tfidf
5,29,0.1137,nice_tfidf
5,30,0.0985,nice_tfidf
5,31,0.0511,nice_tfidf
5,34,0.0647,nice_tfidf
6,14,0.2257,nice_tfidf
6,19,0.1415,nice_tfidf
6,20,0.2563,nice_tfidf
6,23,0.0759,nice_tfidf
6,40,0.0867,nice_tfidf
7,8,0.0809,nice_tfidf
7,9,0.1546,nice_tfidf
7,10,0.0596,nice_tfidf
7,11,0.2701,nice_tfidf
7,12,0.1864,nice_tfidf
7,16,0.1387,nice_tfidf
7,17,0.0562,nice_tfidf
7,20,0.0589,nice_tfidf
7,21,0.132,nice_tfidf
7,28,0.0754,nice_tfidf
7,37,0.1117,nice_tfidf
7,40,0.0654,nice_tfidf
8,9,0.0658,nice_tfidf
8,21,0.1163,nice_tfidf
9,10,0.3431,nice_tfidf
9,11,0.3664,nice_tfidf
9,12,0.1114,nice_tfidf
9,13,0.0638,nice_tfidf
9,15,0.143,nice_tfidf
9,16,0.1051,nice_tfidf
9,17,0.0806,nice_tfidf
9,20,0.0641,nice_tfidf
9,21,0.1733,nice_tfidf
9,22,0.0622,nice_tfidf
9,23,0.0839,nice_tfidf
9,25,0.0631,nice_tfidf
9,26,0.0636,nice_tfidf
9,28,0.1286,nice_tfidf
9,34,0.067,nice_tfidf
9,35,0.0661,nice_tfidf
9,37,0.1052,nice_tfidf
9,38,0.1482,nice_tfidf
9,40,0.0833,nice_tfidf
9,41,0.0921,nice_tfidf
9,42,0.1888,nice_tfidf
9,45,0.0544,nice_tfidf
10,11,0.2675,nice_tfidf
10,16,0.0574,nice_tfidf
10,17,0.0748,nice_tfidf
10,20,0.0984,nice_tfidf
10,21,0.155,nice_tfidf
10,23,0.052,nice_tfidf
10,25,0.0562,nice_tfidf
10,28,0.0644,nice_tfidf
10,29,0.0761,nice_tfidf
10,30,0.0539,nice_tfidf
10,34,0.0549,nice_tfidf
10,40,0.0601,nice_tfidf
10,44,0.0851,nice_tfidf
11,12,0.114,nice_tfidf
11,16,0.0653,nice_tfidf
11,17,0.0527,nice_tfidf
11,20,0.0545,nice_tfidf
11,21,0.203,nice_tfidf
11,28,0.0621,nice_tfidf
11,37,0.0891,nice_tfidf
11,38,0.0564,nice_tfidf
11,40,0.1049,nice_tfidf
11,44,0.0532,nice_tfidf
12,20,0.062,nice_tfidf
12,28,0.0788,nice_tfidf
12,37,0.1104,nice_tfidf
12,39,0.1276,nice_tfidf
13,28,0.0629,nice_tfidf
14,20,0.054,nice_tfidf
14,23,0.052,nice_tfidf
14,26,0.2273,nice_tfidf
15,37,0.0716,nice_tfidf
16,17,0.1244,nice_tfidf
16,18,0.0531,nice_tfidf
16,20,0.0977,nice_tfidf
16,21,0.1835,nice_tfidf
16,22,0.1127,nice_tfidf
16,24,0.1032,nice_tfidf
16,26,0.0762,nice_tfidf
16,28,0.0827,nice_tfidf
16,34,0.0555,nice_tfidf
16,35,0.0529,nice_tfidf
16,40,0.0571,nice_tfidf
17,19,0.1572,nice_tfidf
17,20,0.1581,nice_tfidf
17,21,0.1279,nice_tfidf
17,22,0.2616,nice_tfidf
17,23,0.1952,nice_tfidf
17,24,0.091,nice_tfidf
17,27,0.0612,nice_tfidf
17,40,0.0634,nice_tfidf
18,20,0.0714,nice_tfidf
18,21,0.0619,nice_tfidf
18,22,0.0631,nice_tfidf
18,24,0.0696,nice_tfidf
18,25,0.0663,nice_tfidf
18,40,0.0584,nice_tfidf
19,20,0.6282,nice_tfidf
19,21,0.061,nice_tfidf
19,22,0.2101,nice_tfidf
19,37,0.0767,nice_tfidf
20,21,0.1165,nice_tfidf
20,22,0.2275,nice_tfidf
20,24,0.1191,nice_tfidf
20,25,0.0657,nice_tfidf
20,26,0.0613,nice_tfidf
20,28,0.0519,nice_tfidf
20,39,0.0577,nice_tfidf
21,22,0.0999,nice_tfidf
21,23,0.0606,nice_tfidf
21,24,0.1221,nice_tfidf
21,25,0.0695,nice_tfidf
21,26,0.0557,nice_tfidf
21,28,0.0686,nice_tfidf
21,29,0.0868,nice_tfidf
21,30,0.1053,nice_tfidf
21,31,0.0555,nice_tfidf
21,32,0.0504,nice_tfidf
21,34,0.0578,nice_tfidf
21,37,0.0767,nice_tfidf
