marca_base,ncl_base,spec_base,marca_rpi,ncl_rpi,spec_rpi,colide
FLUXO,44,", e informação em estética capilar;, e informação em estética pessoal [tratamento de pele e cabelo];, e informação sobre beleza;corte de cabelo masculino, feminino e infantil;estética [tratamento da pele e cabelo];estética facial e corporal;serviços de cabeleireiro;serviços de salões de beleza;serviços de barbeiro;",FLUXOO,35,auxílio em gestão de negócios; em gestão de negócios;serviços de em gestão de negócios;,S
JPA,35,comércio [através de qualquer meio] de materiais de construção metálicos;comércio [através de qualquer meio] de materiais de construção não metálicos;serviços de de negócios para projetos de construção;,JPA,45,serviços jurídicos.,S
+COR,2,esmaltes [vernizes]; esmaltes para tintas; lacas; revestimentos [tintas]; tintas *; vernizes *;,KOR,35,"comércio [através de qualquer meio] de artigos do vestuário;comércio [através de qualquer meio] de artigos para prática de esportes;comércio [através de qualquer meio] de calçados;comércio [através de qualquer meio] de roupas;comércio on-line, no varejo, de vestuário virtual baixável;promoção de bens e serviços através de patrocínio de eventos esportivos;",S
+COR,2,esmaltes [vernizes]; esmaltes para tintas; lacas; revestimentos [tintas]; tintas *; vernizes *;,KOR,40,ateliê de costura;confecção de artigo do vestuário sob encomenda;confecção de roupas;corte de tecidos;impressão de estampas;modificação [ajustes] de roupas;tingimento de tecidos;tratamento de tecidos;,S
VIDA,41,"cursos livres(online);publicação on-line de livros e periódicos eletrônicos;serviços de educação;serviços de ensino;serviços de instrução;provimento de vídeos on-line; material didáticos online; apostilas online; e-book, desde que incluídos nesta classe.;",VIDA+,35,"administração de cartão de desconto;administração de convênios de benefícios;serviços de programas de fidelidade [clube, cartão, talão];",S
BRUMA,35,"assessoria, consultoria e informação ao consumidor sobre produtos e respectivos preços, s de websites, em conexão com comércio realizado pela internet;assessoria, consultoria e informação em gestão de negócios e comercialização de produtos sob contrato de franquia;comércio (s de qualquer meio) de cosméticos;comércio (s de qualquer meio) de loções para os cabelos;comércio [s de qualquer meio] de preparações de higiene pessoal não medicamentosas;demonstração de produtos;franchising [sistema pelo q",BRUMA,35,comércio [s de qualquer meio] de bijuteria;comércio [s de qualquer meio] de jóias.;,S
BRUMA,35,"assessoria, consultoria e informação ao consumidor sobre produtos e respectivos preços, através de websites, em conexão com comércio realizado pela internet;assessoria, consultoria e informação em gestão de negócios e comercialização de produtos sob contrato de franquia;comércio (através de qualquer meio) de cosméticos;comércio (através de qualquer meio) de loções para os cabelos;comércio [através de qualquer meio] de preparações de higiene pessoal não medicamentosas;demonstração de produtos;fra",BRUMA,14,anéis [joias e bijuterias];colares [joias e bijuterias];correntes [joias e bijuterias];,S
MR.CLEAN,37,de fachada de edificações; de interiores de edifícios; zelador;,MR. CLEAN,35,"comércio [através de qualquer meio] de cosméticos;comércio [através de qualquer meio] de máquinas-ferramentas;comércio [através de qualquer meio] de material de ;comércio [através de qualquer meio] de preparações de higiene pessoal não medicamentosas;comércio [através de qualquer meio] de preparações higiênicas para uso medicinal;comércio [através de qualquer meio] de preparações para limpar, polir, desengordurar e decapar;comércio [através de qualquer meio] de produtos abrasivos para ;comércio ",S
PANDA,40,"serviço de injeção de plástico; fabricação personalizada de brinquedos sob encomenda de terceiros; montagem de materiais sob encomenda de terceiros (brinquedos), desde que incluídos nesta classe.;",PANDA,39,armazenagem;armazenagem de mercadorias;frigorífico [armazenagem de produto alimentício];,S
MUNDIAL,45,agente funerário (serviços de -);embalsamamento;cremação (serviços de -);enterros [funerais];funerário [serviço -];,MUNDI ALL,35,"comércio [através de qualquer meio] de artigos de chapelaria;comércio [através de qualquer meio] de artigos do vestuário;comércio [através de qualquer meio] de calçados;comércio [através de qualquer meio] de roupas;comércio on-line, no varejo, de vestuário virtual baixável;",S
