descricao,classe
Administração comercial para terceiros,35
Administração comercial de shopping center,35
Administração de arquivo,35
Administração de biblioteca,35
Administração de cartão de benefícios comerciais [promoção de negócios],35
Administração de cartão de desconto,35
Administração de empresa para terceiros,35
Administração de holding,35
Administração de programa de incentivo,35
Agenciamento de mão-de-obra,35
Agenciamento de mercadoria [intermediação],35
Agenciamento de modelo para publicidade [administração de carreira],35
Agenciamento de profissional para atendimento domiciliar,35
"Agenciamento, gestão e intermediação de obra artística",35
Análise de conteúdo de jornais e revistas e preparo de relatório comparando o conteúdo dos diversos veículos de comunicação Apoio administrativo e secretariado,35
Arquivista,35
"Assessoria e consultoria em distribuição comercial para terceiros [planejamento de marketing] Assessoria e consultoria em gestão organizacional para terceiros para fins de ""compliance""",35
Assessoria e consultoria em governança corporativa para terceiros [gestão organizacional],35
"Assessoria e consultoria em marketing relativas a desenvolvimento de produto ou serviço de terceiros Assessoria e consultoria em marketing relativas a logística de distribuição comercial de terceiros Assessoria e consultoria em marketing relativas a precificação de produto ou serviço de terceiros Assessoria e consultoria em marketing relativas a promoção de produto ou serviço de terceiros Assessoria promocional, consultoria e informação sobre propaganda",35
"Assessoria, consultoria e informação demográfica [serviços de marketing]",35
"Assessoria, consultoria e informação econômica, para os setores industrial e comercial das empresas, visando o planejamento, organização, monitoramento e desenvolvimento de",35
"projetos [também provido on-line] [assessoria em gestão comercial] Assessoria, consultoria e informação em agências de modelos para publicidade ou promoção de vendas Assessoria, consultoria e informação em auditoria [gestão organizacional]",35
"Assessoria, consultoria e informação em compilação de informações em bancos de dados de computador Assessoria, consultoria e informação em contabilidade",35
"Assessoria, consultoria e informação em franquia, exceto licenciamento da propriedade intelectual [gestão comercial] Assessoria, consultoria e informação em gestão de negócios e comercialização de produtos sob contrato de franquia Assessoria, consultoria e informação em gestão de negócios para companhias industriais ou comerciais Assessoria, consultoria e informação em investigações, avaliações e pesquisas em negócios",35
"Assessoria, consultoria e informação em marketing",35
"Assessoria, consultoria e informação em negócios relacionados à estratégia, marketing, produção, pessoal e assuntos relativos ao comércio varejista Assessoria, consultoria e informação em negócios relativos à relocalização para empresas",35
"Assessoria, consultoria e informação em promoção de vendas",35
"Assessoria, consultoria e informação em publicidade e propaganda através de qualquer meio Assessoria, consultoria e informação em serviços de recursos humanos para empresas",35
"Assessoria, consultoria e informação empresarial",35
"Assessoria, consultoria e informação na implantação e viabilização de sistema de franquia",35
"Assessoria, consultoria e informação relacionadas ao planejamento, análise, gestão e organização de negócios para empresas Assessoria, consultoria e informação sobre busca de dados em arquivos de computador para terceiros Assessoria, consultoria e informação sobre eleições políticas",35
"Assessoria, consultoria e informação sobre gestão de negócios no campo da propriedade intelectual Assessoria, consultoria e informação sobre gestão governamental",35
"Assessoria, consultoria e informação sobre imposto de renda",35
"Assessoria, consultoria e informação sobre leilões",35
"Assessoria, consultoria e informação sobre oportunidades de negócio",35
"Assessoria, consultoria e informação sobre organização de feiras para fins comerciais ou publicitários Assessoria, consultoria e informação sobre pesquisas de opinião",35
"Assessoria, consultoria e informação sobre publicidade através de mala direta",35
"Assessoria, consultoria e informação sobre reprodução de documentos",35
"Assessoria, consultoria e informação sobre testes psicológicos para seleção de pessoal",35
"Assessoria, consultoria e informação sobre tributos, impostos e taxas",35
"Assessoria, consultoria e informações estatísticas [marketing]",35
"Assessoria, consultoria e informações sobre administração de pessoal",35
"Assessoria, consultoria e informações sobre franchising [gestão comercial]",35
"Assessoria, consultoria e informações sobre marketing",35
Atendimento ao cliente [s.a.c.; serviço de orientação ao consumidor],35
Comércio (através de qualquer meio) de objetos de arte Kusiwa Wajãpi,35
Comércio [através de qualquer meio] de adesivos para papelaria ou para uso doméstico,35
Comércio [através de qualquer meio] de água mineral engarrafada,35
Comércio [através de qualquer meio] de alfinetes e agulhas [artigos de armarinho],35
Comércio [através de qualquer meio] de alimentos para animais,35
Comércio [através de qualquer meio] de alimentos para bebês,35
Comércio [através de qualquer meio] de animais vivos,35
Comércio [através de qualquer meio] de aparelhos [lâminas] de barbear,35
Comércio [através de qualquer meio] de aparelhos de aquecimento,35
Comércio [através de qualquer meio] de aparelhos de cozimento,35
Comércio [através de qualquer meio] de aparelhos de distribuição de água,35
Comércio [através de qualquer meio] de aparelhos de iluminação,35
Comércio [através de qualquer meio] de aparelhos de instalações sanitárias,35
"Comércio [através de qualquer meio] de aparelhos de locomoção por terra, por ar ou por água Comércio [através de qualquer meio] de aparelhos de produção de vapor",35
Comércio [através de qualquer meio] de aparelhos de refrigeração,35
Comércio [através de qualquer meio] de aparelhos de secagem,35
Comércio [através de qualquer meio] de aparelhos de ventilação,35
Comércio [através de qualquer meio] de aparelhos e instrumentos científicos,35
Comércio [através de qualquer meio] de aparelhos e instrumentos cinematográficos,35
Comércio [através de qualquer meio] de aparelhos e instrumentos cirúrgicos,35
Comércio [através de qualquer meio] de aparelhos e instrumentos cronométricos,35
Comércio [através de qualquer meio] de aparelhos e instrumentos de controle [inspeção],35
Comércio [através de qualquer meio] de aparelhos e instrumentos de ensino,35
Comércio [através de qualquer meio] de aparelhos e instrumentos de medição,35
Comércio [através de qualquer meio] de aparelhos e instrumentos de pesagem,35
Comércio [através de qualquer meio] de aparelhos e instrumentos de salvamento,35
Comércio [através de qualquer meio] de aparelhos e instrumentos de sinalização,35
Comércio [através de qualquer meio] de aparelhos e instrumentos dentários,35
Comércio [através de qualquer meio] de aparelhos e instrumentos fotográficos,35
Comércio [através de qualquer meio] de aparelhos e instrumentos geodésicos,35
Comércio [através de qualquer meio] de aparelhos e instrumentos médicos,35
Comércio [através de qualquer meio] de aparelhos e instrumentos náuticos,35
Comércio [através de qualquer meio] de aparelhos e instrumentos ópticos,35
"Comércio [através de qualquer meio] de aparelhos e instrumentos para conduzir, interromper, transformar, acumular, regular ou controlar eletricidade Comércio [através de qualquer meio] de aparelhos e instrumentos veterinários",35
Comércio [através de qualquer meio] de aparelhos extintores de incêndio,35
"Comércio [através de qualquer meio] de aparelhos para o registro, a transmissão e a reprodução de som ou imagens Comércio [através de qualquer meio] de aparelhos para suporte de registro magnético",35
Comércio [através de qualquer meio] de armas brancas,35
Comércio [através de qualquer meio] de armas de fogo,35
"Comércio [através de qualquer meio] de artigos de cama, mesa e banho",35
Comércio [através de qualquer meio] de artigos de chapelaria,35
Comércio [através de qualquer meio] de artigos de cutelaria,35
Comércio [através de qualquer meio] de artigos de ferragem,35
Comércio [através de qualquer meio] de artigos de iluminação,35
Comércio [através de qualquer meio] de artigos de joalheria,35
Comércio [através de qualquer meio] de artigos de louça de faiança,35
Comércio [através de qualquer meio] de artigos de óptica/ótica para correção ou proteção da visão Comércio [através de qualquer meio] de artigos de papelaria,35
Comércio [através de qualquer meio] de artigos de relojoaria,35
Comércio [através de qualquer meio] de artigos de vidro,35
Comércio [através de qualquer meio] de artigos do vestuário,35
Comércio [através de qualquer meio] de artigos ortopédicos,35
Comércio [através de qualquer meio] de artigos para animais,35
Comércio [através de qualquer meio] de artigos para encadernação,35
Comércio [através de qualquer meio] de artigos para fumantes,35
Comércio [através de qualquer meio] de artigos para ginástica,35
Comércio [através de qualquer meio] de artigos para prática de esportes,35
"Comércio [através de qualquer meio] de asfalto, piche e betume",35
Comércio [através de qualquer meio] de baixelas em metal,35
Comércio [através de qualquer meio] de baixelas em porcelana,35
Comércio [através de qualquer meio] de bebidas alcoólicas,35
Comércio [através de qualquer meio] de bebidas não alcoólicas,35
Comércio [através de qualquer meio] de bengalas,35
Comércio [através de qualquer meio] de bicicletas e de artigos para bicicletas,35
Comércio [através de qualquer meio] de bijuteria,35
Comércio [através de qualquer meio] de bobinas de papel,35
Comércio [através de qualquer meio] de bolsas femininas,35
Comércio [através de qualquer meio] de borracha em bruto,35
Comércio [através de qualquer meio] de borracha semiprocessada,35
Comércio [através de qualquer meio] de botões [artigos de armarinho],35
Comércio [através de qualquer meio] de cabos e fios de metal comuns não elétricos,35
Comércio [através de qualquer meio] de caixas registradoras,35
Comércio [através de qualquer meio] de calçados,35
Comércio [através de qualquer meio] de capachos e esteiras,35
Comércio [através de qualquer meio] de caracteres de imprensa,35
Comércio [através de qualquer meio] de carpetes e tapetes,35
Comércio [através de qualquer meio] de cartas de baralho,35
