numero_base,classe,descricao
010001,1,Comburentes [aditivos químicos para combustível]
010002,1,Substâncias adesivas para fins industriais
010003,1,"Sal para conservar, exceto para alimentos"
010004,1,Fluidos auxiliares para uso com abrasivos
010005,1,Aceleradores de vulcanização
010006,1,Soluções antiespumantes para baterias
010006,1,Soluções antiespumantes para acumuladores
010007,1,Acetatos [produtos químicos]*
010008,1,"Acetato de celulose, não processado"
010009,1,Preparações bacteriológicas para acetificação
010010,1,Anidrido acético
010011,1,Acetona
010012,1,Acetileno
010013,1,Tetracloreto de acetileno
010014,1,Ácidos *
010015,1,Preparações químicas de condensação
010016,1,Composições químicas à prova de ácidos
010017,1,Preparações para acabamento usadas na manufatura do aço
010018,1,Actínio
010019,1,Aditivos químicos para lamas de perfuração
010020,1,Aditivos químicos para combustível
010021,1,Aditivos detergentes para gasolina
010022,1,Preparações adesivas para ataduras cirúrgicas
010023,1,Preparações para abrandar água
010024,1,Goma tragacanta para uso industrial [alcatira]
010025,1,Carvão ativado
010026,1,Gases propulsores para aerossóis
010027,1,Agentes redutores para uso em fotografia
010028,1,Substâncias adesivas para cartazes
010029,1,Ágar-ágar para uso industrial
010030,1,"Aglutinantes para concreto Substâncias químicas para agricultura, exceto fungicidas, herbicidas, inseticidas e"
010032,1,Composições para reparar câmaras-de-ar de pneus
010033,1,"Albumina [animal ou vegetal, matéria-prima]"
010034,1,Albumina iodada
010035,1,Albumina de malte
010036,1,Papel albuminado
010037,1,Álcalis
010038,1,Álcali cáustico
010039,1,Metais alcalino-terrosos
010040,1,Álcool para uso industrial
010041,1,Álcool etílico
010042,1,Aldeídos *
010043,1,Algas [fertilizantes]
010044,1,Substâncias químicas para conservação de alimentos
010045,1,Preparações químicas para facilitar a liga de metais
010046,1,Alumina
010047,1,Alume de alumínio
010048,1,Hidrato de alumínio
010049,1,Silicato de alumínio
010050,1,Cloreto de alumínio
010051,1,Iodeto de alumínio
010052,1,Alúmen
010053,1,Preparações químicas para melhoramento de solo
010054,1,Amerício
010055,1,Amido para uso industrial
010056,1,Agentes químicos para fluidificar amido [agentes de descolagem]
010056,1,Agentes de descolagem [preparações químicas para fluidificar amido]
010057,1,Sal amoníaco [cloreto de amônio]
010058,1,Espírito de sal
010060,1,Sais amoniacais
010061,1,Amoníaco *
010062,1,Aldeído de amônio
010063,1,Alúmen de amoníaco
010064,1,Acetato de amido
010065,1,Álcool de amido
010066,1,Amoníaco anídrico
010067,1,Anidridos
010068,1,Carvão animal [negro animal]
010070,1,Ácido antranílico
010071,1,Substâncias antidetonantes para motores de combustão interna
010072,1,Anticongelante
010073,1,Anti-incrustantes
010074,1,Antimônio
010075,1,Óxido de antimônio
010076,1,Sulfeto de antimônio
010077,1,Preparações químicas para acabamentos da indústria têxtil
010078,1,Goma arábica para uso industrial
010079,1,Preparações viscosas para enxertos de árvores
010080,1,Mástique para enchimento de cavidades de árvores
010081,1,Soluções de sais de prata para pratear
010082,1,Argônio
010083,1,Arseniato de chumbo
010084,1,Arsênico
010085,1,Ácido arsenioso
010086,1,Astatino
010087,1,Combustíveis para reatores nucleares
010089,1,Preparações químicas para descarbonização de motores
010090,1,Papel autovirador [fotografia]
010091,1,Substâncias químicas para avivar têxteis
010092,1,Nitrogênio
010093,1,Óxido nitroso [monóxido de dinitrogênio]
010094,1,Adubos nitrogenados
010094,1,Fertilizantes nitrogenados
010095,1,Ácido nítrico Bactericidas para enologia [preparações químicas usadas durante a fabricação de
010097,1,Banhos fixadores [fotografia]
010098,1,Banhos de galvanização
010099,1,Banhos de viragem [fotografia]
010100,1,Soda do comércio [soda barrilha]
010101,1,Bário
010102,1,Barita
010103,1,Papel barítico
010104,1,Adubo orgânico de bário
010105,1,Substâncias para impedir o desfiar de meias
010106,1,Bases [preparações químicas]
010107,1,"Produtos químicos, exceto pigmentos, para fabricação de esmaltes"
010108,1,Bauxita
010109,1,Bentonita
010110,1,Ácidos à base de benzeno
010111,1,Derivados de benzeno
010112,1,Ácido benzóico
010113,1,Sulfimida benzóica para uso industrial
010114,1,Sacarina para fins industriais
010115,1,Berquélio
010116,1,Substâncias químicas para aeração de concreto
010117,1,"Produtos para conservação de concreto, exceto tintas e óleos"
010118,1,Bicloreto de estanho
010119,1,Bicromato de potássio
010120,1,Bicromato de sódio
010121,1,Agentes clarificantes de cerveja
010122,1,Catalisadores bioquímicos
010123,1,Dioxalato de potássio
010124,1,Dióxido de manganês
010125,1,Bismuto
010126,1,Galato básico de bismuto [subgalato de bismuto]
010127,1,Preparações umectantes para uso em branqueamento [lavanderia]
010128,1,Substâncias químicas para branquear ceras
010130,1,Madeira para curtimento [madeira tanante]
010131,1,Álcool metílico [metanol]
010132,1,Polpa de madeira
010133,1,Vinagre de madeira [ácido pirolenhoso]
010133,1,Ácido pirolenhoso [vinagre de madeira]
010134,1,Bórax
010135,1,Ácido bórico para uso industrial
010136,1,Lamas de perfuração
010137,1,Preparações para brasagem
010138,1,Substâncias químicas para evitar condensação
010139,1,Cauchu
010140,1,Cainite
010141,1,Cianamida de cálcio [fertilizante]
010141,1,Cianamida cálcica [fertilizante]
010142,1,Califórnio
010143,1,Plastificantes
010145,1,Preservativos de borracha
010146,1,Carbonatos
010147,1,Carbonato de magnésio
010148,1,Carbono
010149,1,Dissulfeto de carbono
010150,1,Ácido carbônico
010151,1,Carbonetos [carbetos]*
