ncl_a,ncl_b,sim_top5,sim_max,item_a_max,item_b_max
1,2,0.806838,0.922105,010073 Anti-incrustantes,020122 Tintas anti-incrustantes
1,3,0.904068,1.0,"010635 Preparações desincrustantes, exceto para uso doméstico",030081 Preparações desincrustantes para uso doméstico
1,4,0.846079,1.0,010706 Óleo para transmissão,040118 Óleo de transmissão
1,5,0.958654,1.0,"010680 Preparações de microrganismos, exceto para uso medicinal ou veterinário",050454 Preparações de microrganismos para uso medicinal ou veterinário
1,6,0.547245,0.613907,010137 Preparações para brasagem,060053 Ligas para brasagem
1,7,0.876665,0.903737,010113 Sulfimida benzóica para uso industrial,070143 Máquinas para selecionar de uso industrial
1,8,0.444376,0.530831,010307 Preparações para moldagem de fundição,080120 Ferros para moldagem
1,9,0.857741,0.911025,010261 Sais para pilhas galvânicas,090272 Pilhas galvânicas
1,10,0.566097,0.566097,"010690 Adjuvantes, exceto para fins médicos ou veterinários",100307 Nebulizadores para fins médicos
1,11,0.698398,0.876652,010087 Combustíveis para reatores nucleares,110253 Reatores nucleares
1,12,0.682659,0.717582,010197 Líquidos para circuitos hidráulicos,120079 Circuitos hidráulicos para veículos
1,13,0.514678,0.891455,010700 Nitrato de amônio,130005 Explosivos de nitrato de amônio
1,14,0.503515,0.5424,010391 Sais de metais preciosos para uso industrial,140055 Metais preciosos não trabalhados ou semitrabalhados
1,15,0.248724,0.301018,010216 Preparações para acabamento de peles,150059 Peles de tambor
1,16,0.696253,0.849718,010605 Dispersões de matérias plásticas,160195 Matérias plásticas para modelar
1,17,0.74331,0.785084,"010455 Resinas sintéticas, não processadas","170075 Resinas sintéticas, semiprocessadas"
1,18,0.479273,0.570348,010315 Fluidos para freios,180017 Freios para animais
1,19,0.628058,0.94322,010467 Areia de fundição,"190166 Areia, exceto areia para fundição"
1,20,0.597913,0.781798,010605 Dispersões de matérias plásticas,200003 Decorações de matérias plásticas para alimentos
1,21,0.46716,0.490628,010263 Opacificadores para vidros,210085 Vidros [recipientes]
1,22,0.419204,0.45007,010404 Preparações químicas para proteção contra mangra,220115 Lonas de proteção contra poeira
1,23,0.337552,0.661229,010605 Dispersões de matérias plásticas,230020 Fios de matérias plásticas para uso têxtil
1,24,0.500819,0.770749,010605 Dispersões de matérias plásticas,240081 Matérias plásticas [substitutas de tecidos]
1,25,0.453715,0.514304,010170 Mástique para calçados,250110 Calçados de madeira
1,26,0.428587,0.529246,010409 Sais de ouro,260094 Bordados de ouro
1,27,0.461693,0.713304,010203 Substâncias adesivas para papel de parede,270007 Papel de parede
1,28,0.423856,0.530482,010032 Composições para reparar câmaras-de-ar de pneus,280001 Câmaras de ar de bolas para jogos
1,29,0.658886,0.800089,010029 Ágar-ágar para uso industrial,290250 Ágar-ágar para fins culinários
1,30,0.808346,1.0,"010003 Sal para conservar, exceto para alimentos",300014 Sal para conservar alimentos
1,31,0.694765,0.740736,010460 Subprodutos do processamento de cereais para uso industrial,"310129 Subprodutos do processamento de cereais, para consumo animal"
1,32,0.579111,0.73889,010100 Soda do comércio [soda barrilha],320028 Água de soda
1,33,0.360573,0.50221,010247 Água destilada,330039 Soju [bebida destilada coreana]
1,34,0.373903,0.469058,010166 Carvão para filtros,340006 Filtros de cigarro
1,35,0.354466,0.495977,010278 Papel químico para testes,"350090 Testes psicológicos, para seleção de pessoal"
1,36,0.3699,0.47409,010568 Carbono animal,360104 Intermediação de créditos de carbono
1,37,0.544179,0.585707,010203 Substâncias adesivas para papel de parede,370064 Colocação de papel de parede
1,38,0.362377,0.387075,010644 Fluido para transmissão,380035 Transmissão por satélite
1,39,0.457803,0.478435,010333 Gelo seco [dióxido de carbono],390134 Transporte de dióxido de carbono capturado para terceiros
1,40,0.64114,0.779494,010406 Chapas sensibilizadas para impressão em ofsete,400113 Impressão ofsete
1,41,0.48192,0.575681,"010598 Filmes cinematográficos sensibilizados, mas não expostos",410057 Projeções de filmes cinematográficos
1,42,0.451762,0.509798,"010180 Elementos químicos de fissão Substâncias químicas para análises em laboratório, exceto para uso médico ou 1 veterinário Preparações químicas para análises em laboratórios, exceto para uso médico ou 1 veterinário",420007 Análises químicas
1,43,0.293538,0.334722,010669 Alginato para indústria de alimentos,430197 Decoração de alimentos
