CLASSE,ESPECIFICACAO,ESPECIFICACOES_CORRELATAS
1,Comburentes [aditivos químicos para combustível],"Cl.4: Combustível* | Cl.4: Aditivos, não químicos, para combustível para motores | Cl.4: Etanol [combustível]"
1,Substâncias adesivas para fins industriais,Cl.3: Substâncias adesivas para fixar cabelos postiços | Cl.3: Substâncias adesivas para fixar cílios postiços | Cl.3: Substâncias adesivas para uso cosmético | Cl.5: Substâncias hemostáticas [estípticos] | Cl.7: Máquinas de corte para ajuste de tamanho para fins industriais | Cl.11: Fornos de micro-ondas para fins industriais | Cl.11: Aparelhos de fermentação para fins industriais | Cl.16: Substâncias adesivas [colas] para papelaria ou uso doméstico | Cl.16: Gomas [substâncias adesivas] para papelaria ou uso doméstico
1,"Sal para conservar, exceto para alimentos","Cl.8: Cortador e fatiador de alimentos [mandolin] | Cl.11: Desidratadores de alimentos, elétricos | Cl.30: Sal para conservar alimentos | Cl.30: Sal de cozinha | Cl.30: Sal de aipo | Cl.30: Biscoitos de água e sal | Cl.31: Alimentos para animais | Cl.31: Sal para gado | Cl.40: Defumação de alimentos | Cl.40: Congelamento de alimentos | Cl.43: Escultura em alimentos"
1,Fluidos auxiliares para uso com abrasivos,Cl.3: Carbonetos metálicos [abrasivos] | Cl.3: Abrasivos * | Cl.4: Fluidos de corte | Cl.5: Abrasivos dentários | Cl.7: Máquinas de liberação de fluidos para uso industrial | Cl.21: Esfregões abrasivos para cozinha
1,Aceleradores de vulcanização,Cl.7: Aparelhos para vulcanização | Cl.37: Vulcanização de pneus [reparo] | Cl.40: Vulcanização [tratamento de material]
1,Soluções antiespumantes para baterias,Cl.3: Soluções para decapagem | Cl.5: Soluções para lentes de contato | Cl.9: Acumuladores elétricos para veículos [baterias] | Cl.9: Tanques de acumuladores [baterias] | Cl.9: Tanques de acumuladores [baterias] | Cl.9: Caixas de acumuladores [baterias] | Cl.9: Caixas de acumuladores [baterias] | Cl.9: Acidímetros para baterias | Cl.9: Placas para baterias | Cl.9: Baterias de ignição | Cl.9: Baterias de alta tensão | Cl.9: Redutores [eletricidade] | Cl.9: Grades para baterias | Cl.9: Baterias solares | Cl.9: Baterias nucleares | Cl.15: Tambores [baterias] | Cl.15: Baterias robóticas [instrumentos musicais] | Cl.17: Soluções de borracha | Cl.34: Soluções líquidas para uso em cigarros eletrônicos | Cl.37: Carregamento de baterias de veículos | Cl.40: Aluguel de baterias | Cl.3: Soluções para decapagem | Cl.5: Soluções para lentes de contato | Cl.9: Tanques de acumuladores [baterias] | Cl.9: Caixas de acumuladores [baterias] | Cl.9: Caixas de acumuladores [baterias] | Cl.9: Carregadores para acumuladores elétricos | Cl.9: Acumuladores elétricos | Cl.11: Acumuladores de calor | Cl.11: Acumuladores de vapor | Cl.17: Soluções de borracha | Cl.34: Soluções líquidas para uso em cigarros eletrônicos
1,Soluções antiespumantes para acumuladores,Cl.3: Soluções para decapagem | Cl.5: Soluções para lentes de contato | Cl.9: Acumuladores elétricos para veículos [baterias] | Cl.9: Tanques de acumuladores [baterias] | Cl.9: Tanques de acumuladores [baterias] | Cl.9: Caixas de acumuladores [baterias] | Cl.9: Caixas de acumuladores [baterias] | Cl.9: Acidímetros para baterias | Cl.9: Placas para baterias | Cl.9: Baterias de ignição | Cl.9: Baterias de alta tensão | Cl.9: Redutores [eletricidade] | Cl.9: Grades para baterias | Cl.9: Baterias solares | Cl.9: Baterias nucleares | Cl.15: Tambores [baterias] | Cl.15: Baterias robóticas [instrumentos musicais] | Cl.17: Soluções de borracha | Cl.34: Soluções líquidas para uso em cigarros eletrônicos | Cl.37: Carregamento de baterias de veículos | Cl.40: Aluguel de baterias | Cl.3: Soluções para decapagem | Cl.5: Soluções para lentes de contato | Cl.9: Tanques de acumuladores [baterias] | Cl.9: Caixas de acumuladores [baterias] | Cl.9: Caixas de acumuladores [baterias] | Cl.9: Carregadores para acumuladores elétricos | Cl.9: Acumuladores elétricos | Cl.11: Acumuladores de calor | Cl.11: Acumuladores de vapor | Cl.17: Soluções de borracha | Cl.34: Soluções líquidas para uso em cigarros eletrônicos
1,Acetatos [produtos químicos]*,Cl.3: Produtos químicos de uso doméstico para avivar cores [lavanderia] | Cl.3: Produtos químicos de limpeza para uso doméstico | Cl.5: Produtos para exterminar larvas | Cl.35: Demonstração de produtos
1,"Acetato de celulose, não processado","Cl.17: Acetato de celulose [semiprocessado] | Cl.31: Lúpulo não processado | Cl.31: Arroz não processado | Cl.31: Fruto do café, não processado"
1,Preparações bacteriológicas para acetificação,Cl.3: Preparações depilatórias | Cl.3: Preparações fitocosméticas | Cl.5: Preparações para hemorróidas | Cl.5: Preparações antiparasitárias | Cl.5: Preparações antiúricas | Cl.5: Preparações bacteriológicas para uso medicinal e veterinário | Cl.5: Preparações vitamínicas* | Cl.5: Preparações para frieiras | Cl.5: Preparações para facilitar a dentição | Cl.5: Preparações para matar camundongos | Cl.5: Preparações anticriptogâmicas | Cl.5: Preparações para exterminar lesmas | Cl.5: Preparações para organoterapia | Cl.5: Preparações para organoterapia | Cl.5: Preparações broncodilatadoras | Cl.5: Preparações dermatológicas
